Host_International Market
26.7	13.5
7.0	6.1
15.9	2.9
18.6	4.7
-6.0	5.5
-4.2	5.2
4.0	-6.4
-5.2	-2.0
-1.7	-3.6
28.2	6.1
17.6	3.1
1.6	-1.0
17.6	12.5
-13.4	0.1
-12.1	3.0
-6.2	-1.1
-12.1	3.0
-2.5	4.7
-9.3	0.7
0.0	0.0
-1.5	2.6
-5.3	-2.1
9.7	0.5
18.7	5.8
-10.7	-4.0
-8.4	-1.6
6.3	-1.1
1.2	0.4
2.5	-1.2
14.3	5.3
-4.2	-1.5
2.2	-1.4
3.1	0.1
6.4	-3.9
11.0	4.2
-1.0	0.5
-2.7	-5.7
10.4	-1.2
10.2	3.2
15.6	8.3
10.2	3.2
1.2	-1.3
22.3	5.7
3.1	3.8
-13.6	-0.6
-28.8	-10.2
19.0	3.1
-2.1	1.6
-7.8	4.7
-10.1	-2.9
11.4	6.2
-5.5	0.7
-6.6	-1.5
19.6	4.5
3.7	1.5
7.9	6.3
-3.2	0.0
-10.4	-6.9
-12.4	6.0
-4.2	2.3
